Name,Rank,Work Field,Website,Publication Count,Publications
Ercan Gür,Prof. Dr.,Antrenman,https://dergipark.org.tr/tr/pub/@ercangur,4,GENÇ FUTBOLCULARIN TERCİH EDİLEN VE EDİLMEYEN BACAKLARININ TEKNİK BECERİ DÜZEYLERİNİN MEVKİLER AÇISINDAN KARŞILAŞTIRILMASI; PLYOMETRİK ANTRENMANIN GENÇ FUTBOLCULARIN ANAEROBİK GÜÇLERİNE ETKİSİ; Amatör Futbolcuların Müsabaka Öncesi ve Sonrası Vücut Postür Yapılarının Değerlendirilmesi; Çocuk Hikâye Kitaplarında Spor ve Sağlıklı Yaşam Temasının İncelenmesi
Damla Topçu,Dr. Öğretim Görevlisi,"Sosyoloji, Aile ve İlişkiler Sosyolojisi, İletişim Sosyolojisi",https://dergipark.org.tr/tr/pub/@drdt0636-,5,"SOSYAL MEDYA, DİL VE EDEBİYAT; Türkiye’deki Ahıska Türklerinin Sosyolojik Görünümü:  İnegöl İlçesi Örneği; Öğretim Elemanlarının Acil Uzaktan Eğitim Sürecine İlişkin Görüşleri (Kovancılar Meslek Yüksekokulu Örneği); TOPLUMSAL DEĞERLEDEN UZAKLAŞMA; TOPLUMSAL DEĞİŞME VE DEĞERLER BAĞLAMINDA ÂŞIK MURAT ÇOBANOĞLU’NUN TÜRKÜLERİNİN İNCELENMESİ"
Mustafa Ulaş,Doç. Dr.,"Data Mining and Knowledge Discovery, Artificial Intelligence, Artificial Reality",https://dergipark.org.tr/tr/pub/@mustafaulas,2,Öncü Deprem Habercisi Analizi için Otonom VLF Sinyali Hata Ayıklama Algoritması; Terör Saldırılarını İçeren Büyük Verinin Makine Öğrenmesi Teknikleri ile Analizi
Seda Kerimgil Çelik,Dr. Öğr. Üyesi,Eğitim,https://dergipark.org.tr/tr/pub/@skerimgilcelik,2,Sınıf Öğretmenlerinin Mesleki Kimlik Oluşumlarının Seçilmiş Bazı Değişkenler Açısından İncelenmesi / Examination of Classroom Teachers' Professional Identity Formation in Terms of Selected Variables; İlkokul Sosyal Bilgiler Dersinde Oyunun Öğrencilerin Akademik Başarı ve Tutumlarına Etkisi
Seval Yılmaz,Prof. Dr.,Sağlık Bilimleri,https://dergipark.org.tr/tr/pub/@seval123,5,"Gökkuşağı Alabalığı (Oncorhynchus mykiss)'nda Oksidatif Stres Üzerine Sulfamerazinin Etkisi; Femur Kırığı Oluşturulmuş Ratlarda Oksidatif Stres Üzerine Akupunkturun Etkisi; Koksidiyozisli Besi Danalarında Malondialdehid ve Total Antioksidan Düzeyleri ile Hematolojik Parametreler; SIĞIRLARDA BEYAZ KAS HASTALIĞININ ARAŞTIRILMASI; Biyokimyasal, Moleküler ve Histopatolojik Veriler Kullanılarak Likopenin Dietilnitrozamine Bağlı Kronik Hepatotoksisite Üzerine Koruyucu ve / veya Tedavi Edici Etkilerinin Araştırılması"
Enver Çakar,Prof. Dr.,"Osmanlı İktisat Tarihi, Osmanlı Azınlıklar Tarihi, Şehircilik Tarihi",https://dergipark.org.tr/tr/pub/@enver-cakar,6,OSMANLI ARŞİV BELGELERİ IŞIĞINDA PALU KÖPRÜSÜ; XVII. YÜZYILIN SONLARI ve XVIII. YÜZYILIN BAŞLARINDA MANİSA’DA EŞKIYALIK HAREKETLERİ (1683-1718); 17. YÜZYILIN İKİNCİ YARISINDA KONYA’DA KADINA YÖNELİK ŞİDDET OLAYLARI; XVII. YUZYILIN ORTALARıNDA TRABLUSŞAM  ŞEHRİNİN SOSYAL VE İKTİsADI DURUMU  (1645 Tarihli Mufassal Tahrir Defterine Göre); 19. YÜZYILIN İLK YARISINDA KEBAN KÖYLERİNİN İDARİ VE DEMOGRAFİK YAPISI; 19. YÜZYILDA KEBAN: DEMOGRAFİK YAPI VE MESLEKLER
Berra Cansız Kösesoy,Dr. Öğr. Üyesi,"Sosyal Hizmetler, Sağlığın Sosyal Belirleyicileri, Sosyal Adalet, Dezavantajlı Gruplar, Klinik Sosyal Hizmet Uygulaması",https://dergipark.org.tr/tr/pub/@bermes,5,"İNTİHAR DAVRANIŞINDA BULUNAN VAKALARDA SOSYAL HİZMET MÜDAHALE GEÇMİŞİ VE MEVCUT İHTİYAÇLAR; PALYATİF BAKIM DENEYİMİ BULUNAN SAĞLIK ÇALIŞANLARININ SOSYAL HİZMET UZMANLARINA YÖNELİK DEĞERLENDİRMELERİ; İNTİHARIN KARŞISINDAKİ GÜÇLER: TARİH, AİDİYET VE MANEVİYAT; ÇOCUK İŞÇİLİĞİ ÜZERİNE BİR DEĞERLENDİRME: ELAZIĞ MESLEKİ EĞİTİM MERKEZİ ÖRNEĞİ / AN EVALUATION ON CHILD LABOR: AN EXAMPLE OF ELAZIG VOCATIONAL TRAINING CENTER; COVID-19 PANDEMİ SÜRECİNDE İNTİHAR: VAKA İNCELEMELERİ"
Yusuf Bilgiç,Dr. Öğr. Üyesi,"Termodinamik ve İstatistiksel Fizik, Mühendislik, Akışkan Akışı, Isı ve Kütle Transferinde Hesaplamalı Yöntemler (Hesaplamalı Akışkanlar Dinamiği Dahil), Yenilenebilir Enerji Sistemleri, Makine Mühendisliği, Enerji Üretimi, Dönüşüm ve Depolama (Kimyasal ve Elektiksel hariç), Makine Mühendisliğinde Sayısal Yöntemler, Sayısal Modelleme ve Mekanik Karakterizasyon, Otomotivde Isı Transferi",https://dergipark.org.tr/tr/pub/@yubil11,0,
Anıl Agar,Dr.,Orthopaedics,https://dergipark.org.tr/tr/pub/@hawaci,5,Distal Radius Kırığı Nedeniyle Konservatif Tedavi Edilen Yaşlı Hastalarda Radyolojik Parametrelerin Değerlendirilmesi; Pediatrik dirsek septik artritinin sunumu ve tedavisi: Olgu serisi; The effect of telerehabilitation on early outcomes in patients undergoing primary total knee replacement: A prospective randomized study; Youtube Contents Provides Inadequate Information About The Diagnosis And Treatment Of Hallux Valgus; Clinical and functional outcomes of pediatric elbow dislocations: Level 1 tertiary trauma center experience
İrem İpek,Dr. Öğr. Üyesi,Çocuk Diş Hekimliği,https://dergipark.org.tr/tr/pub/@irem__,7,Biocompatibility of different resin composites after polymerization with two light curing units: an immunohistochemical study; Farklı Restoratif Materyallerin Renk Stabilitesinin Değerlendirilmesi; Evaluation of Flexural Strength and Microhardness of Different Type Glass Ionomer Cements; KAWASAKİ HASTALIĞI VE DENTAL YAKLAŞIMLAR; DİŞ HEKİMLİĞİ ÖĞRENCİLERİNİN ERKEN ÇOCUKLUK ÇAĞI ÇÜRÜKLERİ HAKKINDA BİLGİ VE TUTUMLARININ DEĞERLENDİRİLMESİ; Adeziv Protokollerinin ve Işıkla Sertleştirme Ünitelerinin Bulk Fill Kompozit Rezinlerin Tamir Bağlanma Dayanımı Üzerindeki Etkisinin Karşılaştırılması; WIEDEMANN–RAUTENSTRAUCH SYNDROME: CASE REPORT
